Time [yyyy.MM.dd HH:mm:ss],OXY [g/m3]
2024.08.01 00:00:00,10
2024.08.01 01:00:00,10_0037059784
2024.08.01 02:00:00,10_0075883865
2024.08.01 03:00:00,10_0115795135
2024.08.01 04:00:00,10_0156202316
2024.08.01 05:00:00,10_0196485519
2024.08.01 06:00:00,10_0235776901
2024.08.01 07:00:00,10_0274190903
2024.08.01 08:00:00,10_0310411453
2024.08.01 09:00:00,10_0344552994
2024.08.01 10:00:00,10_0376386642
2024.08.01 11:00:00,10_0406646729
2024.08.01 12:00:00,10_0436458588
2024.08.01 13:00:00,10_0466880798
2024.08.01 14:00:00,10_0497484207
2024.08.01 15:00:00,10_0531044006
2024.08.01 16:00:00,10_0566482544
2024.08.01 17:00:00,10_0595541
2024.08.01 18:00:00,10_0616931915
2024.08.01 19:00:00,10_0636577606
2024.08.01 20:00:00,10_0658817291
2024.08.01 21:00:00,10_0680618286
2024.08.01 22:00:00,10_0699005127
2024.08.01 23:00:00,10_0713882446
2024.08.02 00:00:00,10_0728244781
2024.08.02 01:00:00,10_0742883682
2024.08.02 02:00:00,10_0761594772
2024.08.02 03:00:00,10_0778923035
2024.08.02 04:00:00,10_0789117813
2024.08.02 05:00:00,10_080165863
2024.08.02 06:00:00,10_0817613602
2024.08.02 07:00:00,10_0831594467
2024.08.02 08:00:00,10_0835409164
2024.08.02 09:00:00,10_0829772949
2024.08.02 10:00:00,10_0814523697
2024.08.02 11:00:00,10_0791254044
2024.08.02 12:00:00,10_0772447586
2024.08.02 13:00:00,10_0767459869
2024.08.02 14:00:00,10_0766983032
2024.08.02 15:00:00,10_0768642426
2024.08.02 16:00:00,10_0780086517
2024.08.02 17:00:00,10_0807685852
2024.08.02 18:00:00,10_0842761993
2024.08.02 19:00:00,10_0874814987
2024.08.02 20:00:00,10_0897979736
2024.08.02 21:00:00,10_0916500092
2024.08.02 22:00:00,10_0928134918
2024.08.02 23:00:00,10_0941724777
2024.08.03 00:00:00,10_0956172943
2024.08.03 01:00:00,10_0968856812
2024.08.03 02:00:00,10_097949028
2024.08.03 03:00:00,10_0990257263
2024.08.03 04:00:00,10_1007642746
2024.08.03 05:00:00,10_103263855
2024.08.03 06:00:00,10_1053371429
2024.08.03 07:00:00,10_1065511703
2024.08.03 08:00:00,10_1065511703
2024.08.03 09:00:00,10_1064386368
2024.08.03 10:00:00,10_1071128845
2024.08.03 11:00:00,10_1076097488
2024.08.03 12:00:00,10_1078939438
2024.08.03 13:00:00,10_108039856
2024.08.03 14:00:00,10_1085529327
2024.08.03 15:00:00,10_1091251373
2024.08.03 16:00:00,10_1095113754
2024.08.03 17:00:00,10_1102018356
2024.08.03 18:00:00,10_1111927032
2024.08.03 19:00:00,10_1122264862
2024.08.03 20:00:00,10_112786293
2024.08.03 21:00:00,10_113368988
2024.08.03 22:00:00,10_1136131287
2024.08.03 23:00:00,10_1132211685
2024.08.04 00:00:00,10_1127071381
2024.08.04 01:00:00,10_1120634079
2024.08.04 02:00:00,10_1111927032
2024.08.04 03:00:00,10_1106014252
2024.08.04 04:00:00,10_1097774506
2024.08.04 05:00:00,10_1087722778
2024.08.04 06:00:00,10_1080226898
2024.08.04 07:00:00,10_1076660156
2024.08.04 08:00:00,10_106757164
2024.08.04 09:00:00,10_1059932709
2024.08.04 10:00:00,10_1055765152
2024.08.04 11:00:00,10_1059999466
2024.08.04 12:00:00,10_105764389
2024.08.04 13:00:00,10_1045560837
2024.08.04 14:00:00,10_1024961472
2024.08.04 15:00:00,10_0990972519
2024.08.04 16:00:00,10_095700264
2024.08.04 17:00:00,10_0940752029
2024.08.04 18:00:00,10_0940055847
2024.08.04 19:00:00,10_0942544937
2024.08.04 20:00:00,10_0935001373
2024.08.04 21:00:00,10_0925855637
2024.08.04 22:00:00,10_0917520523
2024.08.04 23:00:00,10_0913038254
2024.08.05 00:00:00,10_0901899338
2024.08.05 01:00:00,10_089058876
2024.08.05 02:00:00,10_0879173279
2024.08.05 03:00:00,10_0868558884
2024.08.05 04:00:00,10_0864191055
2024.08.05 05:00:00,10_0865154266
2024.08.05 06:00:00,10_086435318
2024.08.05 07:00:00,10_0861740112
2024.08.05 08:00:00,10_0859355927
2024.08.05 09:00:00,10_0862188339
2024.08.05 10:00:00,10_0869808197
2024.08.05 11:00:00,10_0873069763
2024.08.05 12:00:00,10_0872402191
2024.08.05 13:00:00,10_0866308212
2024.08.05 14:00:00,10_0848121643
2024.08.05 15:00:00,10_0837116241
2024.08.05 16:00:00,10_0831575394
2024.08.05 17:00:00,10_0822782516
2024.08.05 18:00:00,10_0799589157
2024.08.05 19:00:00,10_0771760941
2024.08.05 20:00:00,10_0747108459
2024.08.05 21:00:00,10_0733680725
2024.08.05 22:00:00,10_0732269287
2024.08.05 23:00:00,10_0734586716
2024.08.06 00:00:00,10_0734357834
2024.08.06 01:00:00,10_0733766556
2024.08.06 02:00:00,10_0731801987
2024.08.06 03:00:00,10_0732355118
2024.08.06 04:00:00,10_0738315582
2024.08.06 05:00:00,10_0746736526
2024.08.06 06:00:00,10_0754957199
2024.08.06 07:00:00,10_0762901306
2024.08.06 08:00:00,10_0767860413
2024.08.06 09:00:00,10_0766201019
2024.08.06 10:00:00,10_0759525299
2024.08.06 11:00:00,10_0750074387
2024.08.06 12:00:00,10_074180603
2024.08.06 13:00:00,10_0738010406
2024.08.06 14:00:00,10_0734682083
2024.08.06 15:00:00,10_0726308823
2024.08.06 16:00:00,10_0714540482
2024.08.06 17:00:00,10_0699768066
2024.08.06 18:00:00,10_0682878494
2024.08.06 19:00:00,10_0667333603
