Time [yyyy.MM.dd HH:mm:ss],OXY [g/m3]
2024.08.01 00:00:00,10
2024.08.01 01:00:00,10_0157527924
2024.08.01 02:00:00,10_0084238052
2024.08.01 03:00:00,10_0086565018
2024.08.01 04:00:00,10_0099744797
2024.08.01 05:00:00,10_0104761124
2024.08.01 06:00:00,10_0116214752
2024.08.01 07:00:00,10_0129356384
2024.08.01 08:00:00,10_0145702362
2024.08.01 09:00:00,10_0161781311
2024.08.01 10:00:00,10_0192737579
2024.08.01 11:00:00,10_0251045227
2024.08.01 12:00:00,10_0313901901
2024.08.01 13:00:00,10_036028862
2024.08.01 14:00:00,10_0438632965
2024.08.01 15:00:00,10_0469255447
2024.08.01 16:00:00,10_0485200882
2024.08.01 17:00:00,10_0493106842
2024.08.01 18:00:00,10_0433912277
2024.08.01 19:00:00,10_0403318405
2024.08.01 20:00:00,10_0395708084
2024.08.01 21:00:00,10_0395498276
2024.08.01 22:00:00,10_0391540527
2024.08.01 23:00:00,10_0391874313
2024.08.02 00:00:00,10_0417757034
2024.08.02 01:00:00,10_0443496704
2024.08.02 02:00:00,10_045050621
2024.08.02 03:00:00,10_0468101501
2024.08.02 04:00:00,10_0480327606
2024.08.02 05:00:00,10_0485124588
2024.08.02 06:00:00,10_0465745926
2024.08.02 07:00:00,10_0446863174
2024.08.02 08:00:00,10_0416755676
2024.08.02 09:00:00,10_041893959
2024.08.02 10:00:00,10_0412130356
2024.08.02 11:00:00,10_0377960205
2024.08.02 12:00:00,10_0396556854
2024.08.02 13:00:00,10_0370903015
2024.08.02 14:00:00,10_0327253342
2024.08.02 15:00:00,10_0403852463
2024.08.02 16:00:00,10_0506038666
2024.08.02 17:00:00,10_0591411591
2024.08.02 18:00:00,10_0623340607
2024.08.02 19:00:00,10_0613279343
2024.08.02 20:00:00,10_0589294434
2024.08.02 21:00:00,10_0559158325
2024.08.02 22:00:00,10_0556230545
2024.08.02 23:00:00,10_0566606522
2024.08.03 00:00:00,10_0581703186
2024.08.03 01:00:00,10_0588788986
2024.08.03 02:00:00,10_0601549149
2024.08.03 03:00:00,10_061545372
2024.08.03 04:00:00,10_0632972717
2024.08.03 05:00:00,10_0646505356
2024.08.03 06:00:00,10_0651426315
2024.08.03 07:00:00,10_0675621033
2024.08.03 08:00:00,10_0691280365
2024.08.03 09:00:00,10_0671854019
2024.08.03 10:00:00,10_0666322708
2024.08.03 11:00:00,10_0672388077
2024.08.03 12:00:00,10_0700187683
