Time [yyyy.MM.dd HH:mm:ss],NO3 [gN/m3]
2024.08.01 00:00:00,0
2024.08.01 01:00:00,0
2024.08.01 02:00:00,0
2024.08.01 03:00:00,0
2024.08.01 04:00:00,0
2024.08.01 05:00:00,3_6240522844E-13
2024.08.01 06:00:00,3_38950764157E-13
2024.08.01 07:00:00,3_62824353894E-13
2024.08.01 08:00:00,4_11055927794E-13
2024.08.01 09:00:00,4_67670823942E-13
2024.08.01 10:00:00,5_20357465884E-13
2024.08.01 11:00:00,5_59221614328E-13
2024.08.01 12:00:00,6_02995789151E-13
2024.08.01 13:00:00,6_55591629161E-13
2024.08.01 14:00:00,7_18531462628E-13
2024.08.01 15:00:00,7_87872859401E-13
2024.08.01 16:00:00,8_5677753954E-13
2024.08.01 17:00:00,8_95941957776E-13
2024.08.01 18:00:00,9_50701756902E-13
2024.08.01 19:00:00,9_96565351942E-13
2024.08.01 20:00:00,1_04460884387E-12
2024.08.01 21:00:00,1_08162751759E-12
2024.08.01 22:00:00,1_11555632353E-12
2024.08.01 23:00:00,1_14245158472E-12
2024.08.02 00:00:00,1_16029158937E-12
2024.08.02 01:00:00,1_17263609847E-12
2024.08.02 02:00:00,1_18831919131E-12
2024.08.02 03:00:00,1_19954805637E-12
2024.08.02 04:00:00,1_20733056799E-12
2024.08.02 05:00:00,1_21485016057E-12
2024.08.02 06:00:00,1_22494809435E-12
2024.08.02 07:00:00,1_23399511096E-12
2024.08.02 08:00:00,1_24528176399E-12
2024.08.02 09:00:00,1_25303695371E-12
2024.08.02 10:00:00,1_259277513E-12
2024.08.02 11:00:00,1_26607003961E-12
2024.08.02 12:00:00,1_26844552657E-12
2024.08.02 13:00:00,1_27105227385E-12
2024.08.02 14:00:00,1_27478008618E-12
2024.08.02 15:00:00,1_27398092076E-12
2024.08.02 16:00:00,1_26694564128E-12
2024.08.02 17:00:00,1_2531709611E-12
2024.08.02 18:00:00,1_24606607584E-12
2024.08.02 19:00:00,1_24735671011E-12
2024.08.02 20:00:00,1_25080252145E-12
2024.08.02 21:00:00,1_25585783092E-12
2024.08.02 22:00:00,1_25934299881E-12
2024.08.02 23:00:00,1_26052857388E-12
2024.08.03 00:00:00,1_26082185057E-12
2024.08.03 01:00:00,1_25974328625E-12
2024.08.03 02:00:00,1_25917223696E-12
2024.08.03 03:00:00,1_25841047652E-12
2024.08.03 04:00:00,1_25824264202E-12
2024.08.03 05:00:00,1_30049269964E-12
2024.08.03 06:00:00,9_63745467979E-13
2024.08.03 07:00:00,9_30539499622E-13
2024.08.03 08:00:00,9_4233160771E-13
2024.08.03 09:00:00,9_66599521778E-13
2024.08.03 10:00:00,9_79169544925E-13
2024.08.03 11:00:00,9_83160167861E-13
2024.08.03 12:00:00,9_84509457465E-13
2024.08.03 13:00:00,9_84828429744E-13
2024.08.03 14:00:00,9_63265274836E-13
2024.08.03 15:00:00,9_47029238883E-13
2024.08.03 16:00:00,9_3877824351E-13
