Time [yyyy.MM.dd HH:mm:ss],dTR1 [g/m3]
2024.08.01 00:00:00,0
2024.08.01 01:00:00,0
2024.08.01 02:00:00,0
2024.08.01 03:00:00,0
2024.08.01 04:00:00,0
2024.08.01 05:00:00,9_34613497705E-13
2024.08.01 06:00:00,3_82639059326E-12
2024.08.01 07:00:00,8_69396395153E-12
2024.08.01 08:00:00,1_24768390064E-11
2024.08.01 09:00:00,1_55043877043E-11
2024.08.01 10:00:00,1_68602562467E-11
2024.08.01 11:00:00,1_70906257896E-11
2024.08.01 12:00:00,1_64856565898E-11
2024.08.01 13:00:00,1_55136337804E-11
2024.08.01 14:00:00,1_41159618716E-11
2024.08.01 15:00:00,1_41924709832E-11
2024.08.01 16:00:00,1_3089377672E-11
2024.08.01 17:00:00,1_29168030438E-11
2024.08.01 18:00:00,1_29709697844E-11
2024.08.01 19:00:00,1_28621887446E-11
2024.08.01 20:00:00,1_28333645794E-11
2024.08.01 21:00:00,1_28944042943E-11
2024.08.01 22:00:00,1_29054995857E-11
2024.08.01 23:00:00,1_29452039366E-11
2024.08.02 00:00:00,1_28133250538E-11
2024.08.02 01:00:00,1_22619839629E-11
2024.08.02 02:00:00,1_16425645166E-11
2024.08.02 03:00:00,1_11016543181E-11
2024.08.02 04:00:00,1_0596150693E-11
2024.08.02 05:00:00,1_00589137714E-11
2024.08.02 06:00:00,9_39588164217E-12
2024.08.02 07:00:00,8_50228047689E-12
2024.08.02 08:00:00,7_22761303931E-12
2024.08.02 09:00:00,6_70413464327E-12
2024.08.02 10:00:00,6_7737595047E-12
2024.08.02 11:00:00,6_86986969048E-12
2024.08.02 12:00:00,7_02660802807E-12
2024.08.02 13:00:00,7_30642282787E-12
2024.08.02 14:00:00,7_78658821449E-12
2024.08.02 15:00:00,7_99789748318E-12
2024.08.02 16:00:00,8_15394540082E-12
2024.08.02 17:00:00,7_62320415126E-12
2024.08.02 18:00:00,8_05274510268E-12
2024.08.02 19:00:00,8_39115842782E-12
2024.08.02 20:00:00,8_8421292857E-12
2024.08.02 21:00:00,9_44056898627E-12
2024.08.02 22:00:00,9_98917355083E-12
2024.08.02 23:00:00,1_05011043264E-11
2024.08.03 00:00:00,1_11226756971E-11
2024.08.03 01:00:00,1_18036717553E-11
2024.08.03 02:00:00,1_24715003949E-11
2024.08.03 03:00:00,1_30553458669E-11
2024.08.03 04:00:00,1_36516119589E-11
2024.08.03 05:00:00,1_42365494393E-11
2024.08.03 06:00:00,1_4860784478E-11
2024.08.03 07:00:00,1_53314565904E-11
2024.08.03 08:00:00,1_56940155316E-11
2024.08.03 09:00:00,1_61921292346E-11
2024.08.03 10:00:00,1_66083622549E-11
2024.08.03 11:00:00,1_69842143821E-11
2024.08.03 12:00:00,1_71931566206E-11
2024.08.03 13:00:00,1_73314296942E-11
2024.08.03 14:00:00,1_76154472953E-11
2024.08.03 15:00:00,1_79578487497E-11
2024.08.03 16:00:00,1_83991155644E-11
